1,2.2361,1,1,0,14.866,39.013,7.6158,21.954,0,13.892,22.204,2.2361,7,12.649,1,5.099,8.9443,110.86,112.26,2.2361,44.407,27.857,22.091,4.1231,22.472,1.4142,9.434,0,0,1,1,6.4031,15.652,21.19,4.1231,10.63,1,3.1623,2.8284,1,1,0,0,2.8284,15.264,30.15,3,4.2426,4.2426,1.4142,0,1.4142,1,1,0,1,18.788,24.021,5,6.7082,1,0,0,2.8284,3,10.63,0,1,2,2.2361,2.8284,0,1,14.213,2.8284,3.1623,1.4142,9.2195,2.2361,1.4142,2.2361,0,0,2.2361,1.4142,13.601,2.8284,12.728,5.3852,1,1,0,3.6056,2.2361,2.2361,9.0554,1,5.099,11.045,7.0711,1,8.0623,5.3852,10.198,1.4142,7,4.1231,3.1623,15.133,2.2361,0,13,43.324,31.016,0,20.1,25.318,22.136,12.042,5.831,20.248,22.023,23.324,0,10.44,0,12.369
0,0,1,1,16.401,11.045,8.544,21.633,0,18.868,14.036,8.6023,2.2361,2.2361,20.224,16.763,14.422,123.17,6.0828,7.6158,1.4142,1,1,6.0828,88.645,25.08,10.77,1,0,3,2,0,1,1,25.554,8.0623,9,3.6056,1,2,1.4142,1.4142,1,0,1,12.042,6.7082,3.1623,3.1623,3.1623,5.3852,1,1.4142,1,1,0,0,27.893,2,5,2.2361,7.0711,7.0711,1,1,4.1231,7.0711,1,2.2361,2.2361,5.831,4.1231,0,5.3852,8.544,3,3.6056,19.026,2.2361,2,1.4142,1,0,1,1.4142,13.454,6.3246,10.296,6.7082,1,0,1,3.6056,1.4142,2.2361,2,0,1,4.4721,5.3852,10,1,1.4142,1,8.2462,1,2.8284,3.6056,17.088,5.6569,1.4142,1,23,23.022,134.71,17.205,3.6056,13.892,9.8489,16.553,6.7082,13.454,19.209,26.476,0,0,15,12.649
6.7082,0,1,15.033,11.402,22.091,12.806,0,12.728,91.662,55.579,1,16.279,15.133,2,17.464,8.2462,1.4142,1,1,3.1623,2.2361,0,1,6.3246,75.802,9.0554,1.4142,1,8.9443,2.2361,3.1623,7.6158,0,1,3.1623,1.4142,10.63,4.1231,1,6.0828,1,4.2426,1,2,24.597,18.358,3,3.6056,3.1623,6.3246,1.4142,1,1.4142,1,0,0,1,16.031,2.2361,1.4142,2,2.8284,1,2.8284,10.44,6.3246,3.6056,5,2.2361,5.099,0,0,2.2361,1,3,4,11,5,1.4142,3.1623,0,3.1623,1.4142,3.1623,5.831,10.77,10.296,1,4,2,1,1.4142,2.2361,8.0623,1,8.544,1,22.361,10.44,8.0623,1,2.2361,2.2361,1,8.544,10.296,9.0554,2.2361,9.4868,2.2361,2,1,5.3852,41.049,18.028,0,0,16.553,19.723,18.111,0,18.788,13.928,14.318,0,19.105,16.279
0,0,1,23.77,10.05,20.881,0,12.083,8.9443,14.036,1,16.763,5.099,15.524,1,1,1,1,4.4721,10.77,4.4721,4.1231,12.207,5.831,1,2.2361,9.0554,9.2195,1,2.2361,0,8.544,1,6.7082,1,1.4142,22.825,4.1231,7.6158,1.4142,3.1623,4.4721,0,1,0,14.765,12.369,3,4,3,6.7082,2.2361,1,2.2361,1.4142,1,0,7.0711,15.297,2.8284,1,1,0,0,8.9443,11.18,9,1,1,2,4.1231,0,1,11.705,8.9443,3.1623,3.6056,12.042,4,1,0,0,1,4,5.6569,11.402,9.434,1,6.4031,0,1,1,1,7.0711,1,2.2361,4.1231,0,9,6.4031,24.739,1,0,2.8284,2,22.091,1,9.8489,10.198,4.4721,5.831,2,0,1,0,3.1623,0,0,0,17,16.971,23.195,0,16.125,20,11.402,0,16.279
8.0623,1,20.809,22.825,7.0711,6.3246,0,0,0,0,13.153,30.067,9,6.0828,0,0,1.4142,4.2426,4,7.0711,3.1623,1,5.099,6.7082,1.4142,20.881,28.178,5.099,4.1231,9.4868,10.296,9.4868,8.544,7.6158,2.2361,1,1.4142,5.831,17.692,3.6056,1,2.2361,1,1,6.7082,31.765,7.2801,3,5,5.099,6.7082,2.2361,0,1.4142,1,1,0,1,20.591,10.63,2,4,10.296,1,1.4142,9.4868,6.4031,5.3852,5.3852,3,5,0,1,1.4142,4.1231,3.6056,5.831,9.8995,3.6056,1,2,1,8.4853,5.831,10.05,2.2361,1,0,1,6.0828,4.2426,7.6158,7.0711,1,1.4142,1,1.4142,2,1,1,13.342,3,1,0,1,20.616,1,32.757,5,2,0,2,2.8284,2,4.2426,2.8284,1.4142,0,0,7.2111,25.71,15,0,20.125,19.209,20.809,0,20.591
0,5.3852,22.361,7,11.18,0,8.0623,7.2801,20.224,22.204,31.016,18.974,15.133,1,0,1,4.1231,3.6056,3,3.1623,3.6056,8.544,2,2.2361,1,16.643,13.454,7.0711,3.1623,2.2361,2,1,2.8284,4,2,3.6056,1,7.2801,5,8.0623,4,1,0,1,7.0711,5.3852,9,3,7.0711,6.4031,13.038,2.2361,3.1623,0,1,0,2.2361,0,3.1623,13,15.811,2.2361,15.297,15.652,4.4721,7.0711,1,6.7082,2.2361,1,7.0711,0,8.2462,7.2801,8.2462,4,9,3.1623,3.1623,0,1,8.6023,9.8995,5.6569,10.63,2.2361,1.4142,5.6569,15.811,4.1231,9,7.8102,5.6569,3.1623,12.53,2.2361,1,1,0,7.2111,2.8284,20.616,8.0623,1,3.6056,1,1,5,50.99,15.811,11.402,0,1,4.4721,1,0,3.1623,1.4142,0,0,16.279,12.207,19.105,0,20.1,25.807,13.454,0
1,15.264,26.173,31.321,1,30.017,19.698,21.84,17.889,20.616,7.2111,9,0,1,0,3.6056,13.038,0,0,5.3852,4.4721,5,4.4721,3.1623,2.2361,32.311,37.336,1.4142,2.2361,0,3.6056,2.8284,3,1,2.2361,1,0,1,19.235,5,5.831,4.4721,1,0,14,5.6569,3.1623,3.1623,5.3852,8.0623,6.4031,4.4721,9.2195,1.4142,2,0,0,0,5.3852,21.587,6.7082,13.153,4.1231,7.6158,6.0828,8.2462,8.2462,1,1,7.0711,5.099,1,11.18,5,2.2361,4.1231,2.2361,8.0623,8.0623,1,5,3.6056,9.4868,5,3.6056,2.8284,5.831,5,8,16.553,2.8284,4.4721,4.4721,5.831,13.038,15.811,15.652,1.4142,1,1.4142,1,5.099,5,1,0,1,1,1,43.174,1,126.4,34.059,1,0,1,1.4142,3,2.2361,0,0,9.8489,20.248,15.232,0,14.765,17.889,28.443,0
0,17.804,20.809,4.1231,10.817,13.038,8.4853,15.524,12.042,7.6158,0,0,0,0,0,1,1,4,4.1231,76.531,5,8,4,1.4142,15.297,15.264,10.817,1,7.2111,1,1,1,4,3.1623,9.4868,6.3246,3.1623,1.4142,2.2361,9.434,7,5.831,13.892,1,4.4721,14,5.3852,3.6056,7.2801,1,5.831,1,1,1.4142,4.1231,0,3.6056,0,12.53,16.971,2.2361,21.213,5,7.2801,6.7082,8.6023,8.544,2,7.8102,2.2361,8.0623,1,10.817,8.544,3.1623,4.4721,1.4142,4.2426,2.2361,3,8.0623,2.8284,6.4031,4.2426,8.9443,17.263,6.7082,7.2801,19.849,3,1,1,1,6.0828,2.8284,10.05,23.259,6.7082,6.4031,2.2361,2.8284,106.53,7.2111,3.6056,1,0,1.4142,2.2361,11.314,12.207,60.075,21.541,9.2195,0,1,2.2361,3.1623,3.1623,3,0,0,30.083,15.62,15.264,0,33.136,31.016,10.77
5.099,33.615,24.166,1,12.042,18.385,15.264,0,0,0,0,0,0,0,0,1,5.099,14.036,6.4031,4.4721,0,0,1,15.811,22.804,14.142,2.2361,1.4142,1,1.4142,12.207,19.209,18.028,9.8489,16.031,15.524,13.601,14,6.3246,3.6056,6.4031,5,7.6158,3.6056,2.2361,13.342,6.0828,4.1231,4,53.759,1,1,5,0,3,4.4721,0,12.207,8.9443,5.831,2,10.77,7.2111,4.4721,7,9.0554,2,3.1623,2.2361,1,8.6023,3.6056,7.2111,3.1623,4.1231,5,21.401,5.6569,7.2801,5.831,14.318,3.1623,4.2426,12.207,5,5.3852,6.4031,4.1231,1,0,2.8284,7,0,0,1,9.2195,2.2361,1,1,6,3.6056,5.831,10.63,30.083,5.099,1,11.662,4.4721,15.556,6.7082,17.029,19.416,8.544,5.3852,0,1,1,3,4.1231,2,0,6.3246,28.792,14.866,9.0554,24.739,19.925,15
13.454,14.866,13,0,13,11.662,1.4142,1,0,2.2361,1.4142,4.1231,0,0,0,5.3852,18.682,8.0623,7,10.63,0,1,6.0828,9.2195,10.77,5.831,2.8284,2.2361,5.3852,17.117,1.4142,19.849,12.042,7.8102,13.601,8.6023,1,13.892,4,7.0711,4.2426,13.928,8.2462,8.6023,3.1623,2.8284,6.4031,5.6569,3,81.884,26.306,3.1623,15.133,6.0828,3,3.1623,5.6569,9,7.0711,32.28,17.029,4.2426,15.556,18,81.566,15.232,3,22,5.3852,3.1623,5.831,9.8489,8.0623,5.3852,4.4721,4.4721,5,1,5.831,2.8284,4,4.2426,7.6158,4.1231,5.099,13.892,1,0,0,4.4721,2.2361,6.4031,7.8102,8.2462,0,1,3.1623,10.296,12.166,12.369,6.4031,4.2426,12.806,4.4721,5,33.242,1,5.3852,124.65,1,11.18,13.342,8.0623,18.974,2.2361,0,2.2361,2.8284,4.4721,11.314,3.6056,0,51.01,19.105,10,2,54.231,17.029
